產品名稱,廠商名稱,遊戲平台,級別,情節,上市日期
Kinect 運動大會2,台灣微軟,Xbox360,普,未涉及任何情節,2011-10-25
Kinect 可愛動物,台灣微軟,Xbox360,普,未涉及任何情節,2010-11-20
Kinect 衝鋒,台灣微軟,Xbox360,普,未涉及任何情節,2012-03-20
A列車8-平裝版299,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2008-12-20
野生動物園大亨 3,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2011-10-19
A 列車9-平裝版,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2011-08-27
超級大城市 2012,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2012-03-09
富甲天下 5-499送台灣麻將王,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2008-01-16
武林立志傳 笑傲江湖版-499,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2009-08-22
冰與火之歌：權力遊戲 創世紀-平裝版,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2011-12-09
富甲天下 5-499,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2008-01-25
藍龍,台灣微軟,Xbox360,護,未涉及任何情節,2007-05-22
Kinect迪士尼大冒險,台灣微軟,Xbox360,護,未涉及任何情節,2011-11-15
Kinect 運動大會,台灣微軟,Xbox360,護,未涉及任何情節,2010-11-20
勇者傳說-夏日炎炎包,聚樂數位娛樂股份有限公司,PC線上,護,暴力,2012-07-11
理想人生-299,光譜資訊股份有限公司,PC單機,護,虛擬戀愛或結婚,2007-06-29
天下霸圖-平裝版299,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2006-02-27
大戰略PERFECT3.0-299,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2009-05-27
大人氣遊戲合輯-399,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2006-12-15
跳躍的時空12Riven-精裝版299,光譜資訊股份有限公司,PC單機,護,虛擬戀愛或結婚,2008-09-01
救世英豪4：中古傳奇限量典藏版-699,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2010-11-05
真名法典 2,台灣微軟,Xbox360,輔12,"暴力,不當言語",2009-08-20
夢之歷險Online,天宇科技有限公司,PC線上,輔12,"暴力,虛擬戀愛或結婚",2012-07-24
超時空戰記-夏日消暑包,聚樂數位娛樂股份有限公司,PC線上,輔12,暴力,2012-07-11
心靈殺手,光譜資訊股份有限公司,PC單機,輔12,"暴力,恐怖",2012-03-09
螺旋騎士團,天宇科技有限公司,WEB,輔12,暴力,2012-08-08
明星3缺1-金燕電你包,鈊象電子股份有限公司,WEB,輔12,棋牌益智,2012-07-03
明星3缺1-金燕好康包,鈊象電子股份有限公司,WEB,輔12,棋牌益智,2012-07-03
唯舞獨尊-愛玩包,鈊象電子股份有限公司,PC線上,輔12,虛擬戀愛或結婚,2012-06-27
舞動全身2,台灣微軟,Xbox360,輔15,未涉及任何情節,2011-10-21
舞動全身,台灣微軟,Xbox360,輔15,未涉及任何情節,2010-11-20
最後一戰 星環戰役,台灣微軟,Xbox360,輔15,"暴力,不當言語",2009-02-26
無盡探險,台灣微軟,Xbox360,輔15,"暴力,菸酒,不當言語",2008-09-25
失落的奧德賽,台灣微軟,Xbox360,輔15,"暴力,菸酒,不當言語",2008-01-24
九十九夜,台灣微軟,Xbox360,輔15,暴力,2006-05-25
Kinect 星際大戰,台灣微軟,Xbox360,輔15,暴力,2012-04-03
尼奧麻將王 幸運女孩包,尼奧科技有限公司,PC線上,輔15,棋牌益智,2012-07-25
除暴戰警 2,台灣微軟,Xbox360,限,"暴力,不當言語",2010-07-08
神鬼寓言 2,台灣微軟,Xbox360,限,"性,暴力,菸酒",2008-10-21
神鬼寓言 3,台灣微軟,Xbox360,限,"性,暴力,菸酒",2010-10-27
戰爭機器 3,台灣微軟,Xbox360,限,"暴力,不當言語",2011-09-20
戰爭機器 經典三合一,台灣微軟,Xbox360,限,暴力,2011-02-15
木偶神槍手,台灣微軟,Xbox360,限,"暴力,毒品",2011-09-13
最後一戰 3,台灣微軟,Xbox360,限,"暴力,不當言語",2007-09-25
最後一戰 復刻版,台灣微軟,Xbox360,限,暴力,2011-11-15
最後一戰 3：ODST,台灣微軟,Xbox360,限,"暴力,不當言語",2009-09-22
最後一戰：瑞曲之戰,台灣微軟,Xbox360,限,"暴力,不當言語",2010-09-14
忍者外傳 2,台灣微軟,Xbox360,限,暴力,2008-06-03
異世界,台灣微軟,Xbox360,限,"性,暴力,毒品",2009-10-20
戰地風雲3 豪華版,Electronic Arts Asia Pacific Pte Ltd,PS3,限,"暴力,不當言語",2012-09-11
戰地風雲3 豪華版,Electronic Arts Asia Pacific Pte Ltd,PC單機,限,"暴力,不當言語",2012-09-11
戰地風雲3 豪華版,Electronic Arts Asia Pacific Pte Ltd,Xbox360,限,"暴力,不當言語",2012-09-11
星戰寶石方塊,"Mochi Media, Inc.",WEB,普,未涉及任何情節,2012-09-10
音樂氣球派對,"Mochi Media, Inc.",WEB,普,未涉及任何情節,2012-09-10
愛的機車特技,"Mochi Media, Inc.",WEB,普,未涉及任何情節,2012-09-10
老爹漢堡店,"Mochi Media, Inc.",WEB,普,未涉及任何情節,2012-09-10
摧毀機器人,"Mochi Media, Inc.",WEB,普,未涉及任何情節,2012-09-10
衝鋒粉碎車1,"Mochi Media, Inc.",WEB,普,未涉及任何情節,2012-09-10
廚房保衛戰,"Mochi Media, Inc.",WEB,普,未涉及任何情節,2012-09-10
方塊大作戰,"Mochi Media, Inc.",WEB,普,未涉及任何情節,2012-09-10
秋之回憶 Duet-平裝版299,光譜資訊股份有限公司,PC單機,普,虛擬戀愛或結婚,2009-05-28
秋之回憶 Duet+攻略本合輯399,光譜資訊股份有限公司,PC單機,普,虛擬戀愛或結婚,2009-05-28
冰與火之歌-史塔克限定版-790,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2011-12-09
公主奇緣-平裝版350,光譜資訊股份有限公司,PC單機,普,虛擬戀愛或結婚,2010-08-07
天使協奏曲ENCORE-299,光譜資訊股份有限公司,PC單機,普,虛擬戀愛或結婚,2005-06-22
超級大城市 XL 2011-590,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2010-12-30
A 列車9達人版,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2011-08-27
A 列車9官方攻略本,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2011-08-27
A列車8達人版(贈鐵道王),光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2008-12-20
A 列車8達人版-499,光譜資訊股份有限公司,PC單機,普,未涉及任何情節,2008-12-20
土撥鼠2館大話西遊包,中芯國際資訊有限公司,WEB,護,棋牌益智,2012-09-25
地城轟炸人,"Mochi Media, Inc.",WEB,護,未涉及任何情節,2012-09-10
原始人VS恐龍,"Mochi Media, Inc.",WEB,護,未涉及任何情節,2012-09-10
托比極限逃亡,"Mochi Media, Inc.",WEB,護,未涉及任何情節,2012-09-10
托比垂直極限,"Mochi Media, Inc.",WEB,護,未涉及任何情節,2012-09-10
天生神偷小巴伯,"Mochi Media, Inc.",WEB,護,未涉及任何情節,2012-09-10
復仇之臂,"Mochi Media, Inc.",WEB,護,未涉及任何情節,2012-09-10
救世英豪-經典再起,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2007-06-15
秋之回憶6+5回憶完整版,光譜資訊股份有限公司,PC單機,護,虛擬戀愛或結婚,2007-12-25
魔法使與主人PLUS攻略加值版-299,光譜資訊股份有限公司,PC單機,護,虛擬戀愛或結婚,2006-07-29
秋之回憶5 encore安可-399,光譜資訊股份有限公司,PC單機,護,虛擬戀愛或結婚,2008-12-27
甜心骰寶,鈊象電子股份有限公司,WEB,護,棋牌益智,2010-08-01
救世英豪2,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2007-06-15
救世英豪3,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2007-06-15
救世英豪3：遺棄之神-399,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2009-11-18
救世英豪2+3合輯-590,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2007-06-15
救世英豪4：中古傳奇-590,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2010-11-05
救世英豪傳奇珍藏版,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2010-05-13
救世英豪4官方攻略本,光譜資訊股份有限公司,PC單機,護,未涉及任何情節,2010-11-05
尬舞Online BANGO!夏日˙精選輯,遊戲新幹線,PC線上,輔12,虛擬戀愛或結婚,2012-08-07
至尊娛樂城,大天人網路科技股份有限公司,PC線上,輔12,棋牌益智,2009-10-05
愛麗絲奏鳴曲 3：真相終章-390,光譜資訊股份有限公司,PC單機,輔12,未涉及任何情節,2011-04-30
現代大戰略 2008-299,光譜資訊股份有限公司,PC單機,輔12,未涉及任何情節,2008-10-09
Hiyo 衝天跑,和信超媒體(股)戲谷分公司,PC線上,輔12,虛擬戀愛或結婚,2012-08-07
老子有錢Online,向上國際科技股份有限公司,WEB,輔15,棋牌益智,2011-09-07
彩金俱樂部全民抗漲包,野果堂數位科技股份有限公司,WEB,輔15,棋牌益智,2012-07-11
YES 人生 Online,大天人網路科技股份有限公司,PC線上,輔15,"棋牌益智,虛擬戀愛或結婚",2012-03-15
EA SPORTS™UFC®,Electronic Arts Asia Pacific Pte Ltd,PS4,輔15,"暴力,不當言語",2014-06-17
EA SPORTS™UFC®,Electronic Arts Asia Pacific Pte Ltd,XboxOne,輔15,"暴力,不當言語",2014-09-23
裂痕 RIFT 魅惑靈魂包,遊戲怪獸股份有限公司,PC線上,輔15,未涉及任何情節,2012-10-05
決勝時刻 :黑色行動 2,華星科藝股份有限公司,PS3,限,"暴力,恐怖,反社會性",2012-11-13
決勝時刻 :黑色行動 2,華星科藝股份有限公司,Xbox360,限,"暴力,恐怖,反社會性",2012-11-13
末世騎士 2,Epicsoft,Xbox360,限,暴力,2012-08-14
末世騎士 2,Epicsoft,PS3,限,暴力,2012-08-14
末世騎士 2,Epicsoft,PC單機,限,暴力,2012-08-14
Borderlands 2 (邊緣禁地 2),Take-Two Asia Pte Ltd,PS3,限,"性,暴力,菸酒",2012-09-21
Borderlands 2 (邊緣禁地 2),Take-Two Asia Pte Ltd,Xbox360,限,"性,暴力,菸酒",2012-09-21
Borderlands 2 (邊緣禁地 2),Take-Two Asia Pte Ltd,PC單機,限,"性,暴力,菸酒",2012-09-21
封神,鈊象電子股份有限公司,PC線上,普,未涉及任何情節,2003-01-01
封神2仙界傳,鈊象電子股份有限公司,PC線上,普,未涉及任何情節,2005-01-01
寶石幻想,鈊象電子股份有限公司,PC線上,普,未涉及任何情節,2009-01-01
冰原歷險記4: 板塊漂移,華星科藝股份有限公司,Xbox360,普,未涉及任何情節,2012-07-17
足球經理人 12,華星科藝股份有限公司,PC單機,普,未涉及任何情節,2011-10-27
Saw blade and Balls,Farhan,手機遊戲,普,未涉及任何情節,2013-10-05
心幻之影II-魔女戰爭,數位蘿蔔科技有限公司,WEB,普,未涉及任何情節,2012-06-03
心幻之影-夢幻占卜師,數位蘿蔔科技有限公司,WEB,普,未涉及任何情節,2011-07-06
甜心小瑪莉,鈊象電子股份有限公司,WEB,護,棋牌益智,2010-01-01
甜心德州撲克,鈊象電子股份有限公司,WEB,護,棋牌益智,2011-01-01
深海大冒險,鈊象電子股份有限公司,WEB,護,棋牌益智,2011-01-01
淘金水果,鈊象電子股份有限公司,WEB,護,棋牌益智,2012-01-01
王牌5PK,鈊象電子股份有限公司,PC線上,護,棋牌益智,2012-01-01
競技德州撲克,鈊象電子股份有限公司,WEB,護,棋牌益智,2012-01-01
競技大老二,鈊象電子股份有限公司,WEB,護,棋牌益智,2012-01-01
競技麻將,鈊象電子股份有限公司,WEB,護,棋牌益智,2011-01-01
舞力全開經典合輯,華星科藝股份有限公司,Xbox360,護,未涉及任何情節,2012-07-10
新數碼寶貝世界,台灣萬代南夢宮娛樂股份有限公司,PSP,護,暴力,2012-07-19
勇者傳說-王者之力包,聚樂數位娛樂股份有限公司,PC線上,護,暴力,2011-12-13
新王牌大老二,鈊象電子股份有限公司,WEB,輔12,棋牌益智,2010-01-01
永恆星語銀月包,金斗雲遊戲股份有限公司,WEB,輔12,未涉及任何情節,2012-07-19
永恆星語蒂芬包,金斗雲遊戲股份有限公司,WEB,輔12,未涉及任何情節,2012-07-19
永恆星語歐娜包,金斗雲遊戲股份有限公司,WEB,輔12,未涉及任何情節,2012-07-19
唯舞獨尊,鈊象電子股份有限公司,PC線上,輔12,虛擬戀愛或結婚,2007-01-01
唯舞獨尊(臉書版),鈊象電子股份有限公司,WEB,輔12,虛擬戀愛或結婚,2012-01-01
電影卡拉OK 2,華星科藝股份有限公司,Xbox360,輔12,"性,暴力,不當言語",2011-03-09
電影卡拉OK 2,華星科藝股份有限公司,PS3,輔12,"性,暴力,不當言語",2011-03-09
迪士尼瘋狂世界,華星科藝股份有限公司,Xbox360,輔12,"暴力,恐怖,不當言語",2011-10-25
汽車總動員2,華星科藝股份有限公司,Xbox360,輔12,"暴力,恐怖,不當言語",2011-06-21
吉他英雄:史密斯飛船,華星科藝股份有限公司,Xbox360,輔12,不當言語,2008-09-10
吉他英雄:史密斯飛船,華星科藝股份有限公司,PS3,輔12,不當言語,2008-09-10
萌萌彩虹島,遊戲新幹線,PC線上,輔12,"暴力,虛擬戀愛或結婚",2012-07-19
機動戰士鋼彈 SEED 戰爭宿命,台灣萬代南夢宮娛樂股份有限公司,PSVITA,輔12,暴力,2012-06-07
新絕代雙驕Online-狐光乍現,宇峻奧汀科技股份有限公司,PC線上,輔12,虛擬戀愛或結婚,2012-07-04
戰亂之聲,Valofe Global Limited,PC線上,輔12,暴力,2012-07-11
三國群英傳 2.5 Online  激戰鬼王殿,宇峻奧汀科技股份有限公司,PC線上,輔15,暴力,2012-08-07
搓麻將online,宇峻奧汀科技股份有限公司,PC線上,輔15,棋牌益智,2012-10-01
明星3缺1,鈊象電子股份有限公司,PC線上,輔15,棋牌益智,2009-01-01
英雄聯盟,台灣競舞娛樂有限公司,PC線上,輔15,"暴力,菸酒",2011-08-25
MStar,台灣競舞娛樂有限公司,PC線上,輔15,"性,虛擬戀愛或結婚",2012-08-22
老子有錢Online臉書遊戲,向上國際科技股份有限公司,WEB,輔15,棋牌益智,2011-12-08
模擬市民3: Diesel 組合,華星科藝股份有限公司,PC單機,輔15,"性,菸酒",2012-07-12
模擬市民3 : 凱蒂佩芮甜心包,華星科藝股份有限公司,PC單機,輔15,"性,菸酒,不當言語",2012-06-05
創光速戰記,華星科藝股份有限公司,Xbox360,輔15,"暴力,恐怖,反社會性",2010-12-09
創:光速戰記,華星科藝股份有限公司,PC單機,輔15,"暴力,恐怖,反社會性",2010-12-23
彩金俱樂部體驗就這包,野果堂數位科技股份有限公司,WEB,輔15,棋牌益智,2012-06-29
魔獸世界浩劫與重生浩劫來襲包,智凡迪科技股份有限公司,PC線上,輔15,"暴力,菸酒",2010-12-08
功夫英雄-虛寶無雙包,茂為歐買尬數位科技股份有限公司,PC線上,輔15,"暴力,虛擬戀愛或結婚",2012-05-26
侍道online,天宇科技有限公司,PC線上,輔15,暴力,2012-04-11
星海爭霸II:自由之翼 星戰超值版,香港商動視暴雪有限公司台灣分公司,PC線上,輔15,"暴力,菸酒",2012-08-10
大地王國:罪與罰,華星科藝股份有限公司,Xbox360,限,"暴力,恐怖,反社會性",2012-02-09
大地王國:罪與罰,華星科藝股份有限公司,PS3,限,"暴力,恐怖,反社會性",2012-02-09
大地王國 : 罪與罰,華星科藝股份有限公司,PC單機,限,"暴力,恐怖,反社會性",2012-02-09
重力效應,台灣萬代南夢宮娛樂股份有限公司,PC單機,限,"暴力,恐怖,不當言語",2012-07-27
暗黑破壞神III標準版,香港商動視暴雪有限公司台灣分公司,PC線上,限,"暴力,恐怖,不當言語",2012-05-15
暗黑破壞神III標準版-虛擬,香港商動視暴雪有限公司台灣分公司,PC線上,限,"暴力,恐怖,不當言語",2012-05-15
暗棋無雙,力可科技,WEB,普,未涉及任何情節,2009-07-01
嘎姆寵物連連看,力可科技,WEB,普,未涉及任何情節,2009-05-07
無差別五子棋,力可科技,WEB,普,未涉及任何情節,2009-05-01
猜數字,力可科技,WEB,普,未涉及任何情節,2009-01-10
蛇來也,力可科技,WEB,普,未涉及任何情節,2009-04-08
找碴物語,力可科技,WEB,普,未涉及任何情節,2011-11-19
pizza世界,力可科技,WEB,普,未涉及任何情節,2010-04-19
水晶挖挖哇,力可科技,WEB,普,未涉及任何情節,2009-05-01
物換星移,力可科技,WEB,普,未涉及任何情節,2008-10-21
海狼 web,因思銳遊戲總局,WEB,普,未涉及任何情節,2011-06-15
憤怒鳥三部曲,華星科藝股份有限公司,Xbox360,普,未涉及任何情節,2012-09-25
憤怒鳥三部曲,華星科藝股份有限公司,PS3,普,未涉及任何情節,2012-09-25
Turn Me Off,Farhan,手機遊戲,普,未涉及任何情節,2013-10-04
坦克戰隊,力可科技,WEB,護,暴力,2009-05-01
麻將小窩,力可科技,WEB,護,棋牌益智,2009-11-01
怪朋友Online,力可科技,WEB,護,暴力,2010-02-06
童話99,力可科技,WEB,護,棋牌益智,2009-08-14
海賊大老二,力可科技,WEB,護,棋牌益智,2009-09-22
坦克大決戰Online,力可科技,WEB,護,暴力,2008-10-21
衝出大氣層,力可科技,WEB,護,暴力,2008-10-21
黑森林傑克,力可科技,WEB,護,棋牌益智,2008-10-21
吞食天地3 Online 夥伴集結包,中華網龍股份有限公司,PC線上,護,暴力,2012-09-05
吞食天地3 Online 駕駕來福包,中華網龍股份有限公司,PC線上,護,暴力,2012-06-27
AE 老虎机,AE Mobile,手機遊戲,護,未涉及任何情節,2013-10-28
吞食天地3 Online 攻城掠地包,中華網龍股份有限公司,PC線上,護,暴力,2012-09-05
藍星戰記,鈊象電子股份有限公司,PC線上,護,未涉及任何情節,2012-09-25
藍星戰記-無限連擊包,鈊象電子股份有限公司,PC線上,護,未涉及任何情節,2012-09-25
旺來麻將 愛碰虛擬包,億泰利多媒體股份有限公司,PC線上,輔12,"性,棋牌益智",2011-03-01
旺來麻將 即時虛擬包,億泰利多媒體股份有限公司,PC線上,輔12,"性,棋牌益智",2009-04-16
旺來麻將 來富虛擬包,億泰利多媒體股份有限公司,PC線上,輔12,"性,棋牌益智",2010-06-22
旺來麻將 OK虛擬包,億泰利多媒體股份有限公司,PC線上,輔12,"性,棋牌益智",2010-06-22
旺來麻將 網咖虛擬包,億泰利多媒體股份有限公司,PC線上,輔12,"性,棋牌益智",2011-01-21
旺來麻將 網咖福利包,億泰利多媒體股份有限公司,PC線上,輔12,"性,棋牌益智",2011-04-14
光暈戰記,力可科技,WEB,輔12,"暴力,虛擬戀愛或結婚",2009-05-02
光之繼承,力可科技,WEB,輔12,"性,暴力",2011-02-03
勁舞團,因思銳遊戲總局,PC線上,輔12,虛擬戀愛或結婚,2006-04-04
變形金剛:賽博坦殞落,華星科藝股份有限公司,PS3,輔12,"暴力,恐怖,不當言語",2012-08-21
戲谷麻將,和信超媒體(股)戲谷分公司,PC線上,輔12,棋牌益智,2012-08-15
新洛汗,普雷威股份有限公司,PC線上,輔12,暴力,2011-07-13
星海爭霸II:自由之翼 星戰超值版-虛擬,香港商動視暴雪有限公司台灣分公司,PC線上,輔15,"暴力,菸酒",2012-08-10
星海爭霸II:自由之翼  新手入門版,香港商動視暴雪有限公司台灣分公司,PC線上,輔15,"暴力,菸酒",2011-08-16
星海爭霸II:自由之翼 聖戰紀念版,香港商動視暴雪有限公司台灣分公司,PC線上,輔15,"暴力,菸酒",2011-07-14
星海爭霸II:自由之翼 聖戰紀念版 - 虛擬,香港商動視暴雪有限公司台灣分公司,PC線上,輔15,"暴力,菸酒",2011-07-14
鑽石俱樂部Online 幸福報到包,中華網龍股份有限公司,PC線上,輔15,棋牌益智,2012-06-27
鑽石俱樂部Online 皇家時尚包,中華網龍股份有限公司,PC線上,輔15,棋牌益智,2012-01-11
黃易群俠傳2 Online 闇影伏擊包,中華網龍股份有限公司,PC線上,輔15,"性,暴力",2012-05-30
鑽石俱樂部Online 名媛紳士包,中華網龍股份有限公司,PC線上,輔15,棋牌益智,2012-06-27
模擬市民3：異能新世紀,Electronic Arts Asia Pacific Pte Ltd,PC單機,輔15,"暴力,恐怖,虛擬戀愛或結婚",2012-09-04
古龍爭霸,遊戲新幹線,PC線上,輔15,"暴力,菸酒,虛擬戀愛或結婚",2012-06-20
機動戰士鋼彈 特洛伊行動,台灣微軟,Xbox360,輔15,暴力,2008-06-26
吞食外傳web  龍戰天下包,中華網龍股份有限公司,WEB,限,暴力,2012-04-17
DARKSIDER 2 末世騎士 2,金飛象有限公司,PC單機,限,暴力,2012-08-14
DARKSIDER 2 末世騎士 2,金飛象有限公司,PS3,限,暴力,2012-08-14
DARKSIDER 2 末世騎士 2,金飛象有限公司,Xbox360,限,暴力,2012-08-14
詹姆士龐德：007傳奇,華星科藝股份有限公司,Xbox360,限,"暴力,恐怖,不當言語",2012-10-16
詹姆士龐德：007傳奇,華星科藝股份有限公司,PS3,限,"暴力,恐怖,不當言語",2012-10-16
快打魔法陣,Starwish Little Prince Studio Limited,PC線上,普,未涉及任何情節,2013-10-01
Animal Hide and Seek,Absolutist Ltd,PC單機,普,未涉及任何情節,2014-04-18
賦法戰爭,台灣微軟,Xbox360,普,未涉及任何情節,2006-06-29
全民派對,台灣微軟,Xbox360,普,未涉及任何情節,2006-04-20
