committee,lgno,name,term,sessionPeriod,isCoChairman,
社會福利及衛生環境委員會,00066,周五六,4,1,N,
社會福利及衛生環境委員會,00069,周清玉,4,1,N,
社會福利及衛生環境委員會,00093,徐中雄,4,1,Y,
社會福利及衛生環境委員會,00121,張蔡美,4,1,N,
社會福利及衛生環境委員會,00125,陳宏昌,4,1,N,
社會福利及衛生環境委員會,00144,陳鴻基,4,1,N,
社會福利及衛生環境委員會,00158,黃明和,4,1,Y,
社會福利及衛生環境委員會,00178,趙永清,4,1,N,
社會福利及衛生環境委員會,00184,鄭龍水,4,1,N,
社會福利及衛生環境委員會,00191,蔡鈴蘭,4,1,N,
社會福利及衛生環境委員會,00203,賴勁麟,4,1,N,
社會福利及衛生環境委員會,00218,蕭金蘭,4,1,N,
程序委員會,00006,王令麟,4,1,N,
程序委員會,00007,王兆釧,4,1,N,
程序委員會,00035,李顯榮,4,1,N,
程序委員會,00042,余政道,4,1,N,
程序委員會,00046,林志嘉,4,1,N,
程序委員會,00066,周五六,4,1,N,
程序委員會,00069,周清玉,4,1,N,
程序委員會,00070,周雅淑,4,1,N,
程序委員會,00075,邱創良,4,1,N,
程序委員會,00087,侯惠仙,4,1,N,
程序委員會,00088,唐碧娥,4,1,N,
程序委員會,00090,高揚昇,4,1,N,
程序委員會,00091,秦慧珠,4,1,N,
程序委員會,00106,許鍾碧霞,4,1,N,
程序委員會,00111,張川田,4,1,N,
程序委員會,00116,張明雄,4,1,N,
程序委員會,00130,陳昭南,4,1,N,
程序委員會,00131,陳振盛,4,1,N,
程序委員會,00143,陳學聖,4,1,N,
程序委員會,00152,湯金全,4,1,N,
程序委員會,00154,馮滬祥,4,1,N,
程序委員會,00163,黃顯洲,4,1,N,
程序委員會,00169,楊瓊瓔,4,1,N,
程序委員會,00176,廖福本,4,1,N,
程序委員會,00181,鄭金玲,4,1,N,
程序委員會,00188,蔡明憲,4,1,N,
程序委員會,00207,穆閩珠,4,1,N,
程序委員會,00208,營志宏,4,1,N,
程序委員會,00211,謝章捷,4,1,N,
程序委員會,00219,蕭苑瑜,4,1,N,
外交及僑務委員會,00012,王雪峯,4,1,Y,
外交及僑務委員會,00025,李先仁,4,1,Y,
外交及僑務委員會,00057,林國華,4,1,N,
外交及僑務委員會,00077,施明德,4,1,N,
外交及僑務委員會,00082,洪昭男,4,1,N,
外交及僑務委員會,00083,洪讀,4,1,N,
外交及僑務委員會,00106,許鍾碧霞,4,1,N,
外交及僑務委員會,00143,陳學聖,4,1,N,
外交及僑務委員會,00167,楊作洲,4,1,N,
外交及僑務委員會,00208,營志宏,4,1,N,
外交及僑務委員會,00221,關沃暖,4,1,Y,
外交及僑務委員會,00225,饒穎奇,4,1,N,
科技及資訊委員會,00001,丁守中,4,1,N,
科技及資訊委員會,00039,呂新民,4,1,N,
科技及資訊委員會,00049,林明義,4,1,N,
科技及資訊委員會,00087,侯惠仙,4,1,N,
科技及資訊委員會,00105,許榮淑,4,1,N,
科技及資訊委員會,00122,張學舜,4,1,N,
科技及資訊委員會,00128,陳忠信,4,1,N,
科技及資訊委員會,00130,陳昭南,4,1,N,
科技及資訊委員會,00139,陳傑儒,4,1,N,
科技及資訊委員會,00151,游淮銀,4,1,N,
科技及資訊委員會,00153,馮定國,4,1,Y,
科技及資訊委員會,00163,黃顯洲,4,1,N,
科技及資訊委員會,00185,鄭寶清,4,1,N,
科技及資訊委員會,00201,劉憲同,4,1,N,
科技及資訊委員會,00224,蘇煥智,4,1,Y,
國防委員會,00008,王幸男,4,1,N,
國防委員會,00014,江綺雯,4,1,N,
國防委員會,00023,李文忠,4,1,N,
國防委員會,00030,李鳴皋,4,1,N,
國防委員會,00035,李顯榮,4,1,N,
國防委員會,00067,周正之,4,1,N,
國防委員會,00068,周伯倫,4,1,Y,
國防委員會,00072,周錫瑋,4,1,Y,
國防委員會,00097,徐慶元,4,1,N,
國防委員會,00100,梁牧養,4,1,N,
國防委員會,00114,張旭成,4,1,N,
國防委員會,00120,張福興,4,1,N,
國防委員會,00150,游月霞,4,1,N,
國防委員會,00154,馮滬祥,4,1,N,
國防委員會,00177,廖學廣,4,1,N,
國防委員會,00181,鄭金玲,4,1,N,
國防委員會,00205,盧秀燕,4,1,N,
預算及決算委員會,00016,朱立倫,4,1,N,
預算及決算委員會,00022,沈智慧,4,1,Y,
預算及決算委員會,00027,李炷烽,4,1,N,
預算及決算委員會,00036,吳光訓,4,1,N,
預算及決算委員會,00041,何嘉榮,4,1,N,
預算及決算委員會,00043,林文郎,4,1,Y,
預算及決算委員會,00075,邱創良,4,1,N,
預算及決算委員會,00091,秦慧珠,4,1,N,
預算及決算委員會,00094,徐少萍,4,1,N,
預算及決算委員會,00134,陳清寶,4,1,N,
預算及決算委員會,00165,楊仁福,4,1,N,
預算及決算委員會,00171,葉宜津,4,1,N,
預算及決算委員會,00188,蔡明憲,4,1,N,
預算及決算委員會,00193,劉文雄,4,1,N,
預算及決算委員會,00197,劉政鴻,4,1,N,
預算及決算委員會,00213,韓國瑜,4,1,N,
司法委員會,00007,王兆釧,4,1,N,
司法委員會,00032,李慶雄,4,1,N,
司法委員會,00059,林進春,4,1,N,
司法委員會,00061,林瑞圖,4,1,Y,
司法委員會,00080,洪性榮,4,1,N,
司法委員會,00089,高育仁,4,1,N,
司法委員會,00096,徐志明,4,1,N,
司法委員會,00108,郭素春,4,1,Y,
司法委員會,00155,彭紹瑾,4,1,N,
司法委員會,00159,黃昭順,4,1,N,
司法委員會,00196,劉炳偉,4,1,N,
司法委員會,00198,劉俊雄,4,1,N,
司法委員會,00219,蕭苑瑜,4,1,N,
法制委員會,00006,王令麟,4,1,N,
法制委員會,00010,王金平,4,1,N,
法制委員會,00019,朱鳳芝,4,1,Y,
法制委員會,00062,林濁水,4,1,Y,
法制委員會,00070,周雅淑,4,1,N,
法制委員會,00078,洪玉欽,4,1,N,
法制委員會,00118,張俊雄,4,1,N,
法制委員會,00135,陳健治,4,1,N,
法制委員會,00145,陳瓊讚,4,1,N,
法制委員會,00146,曾永權,4,1,N,
法制委員會,00162,黃爾璇,4,1,N,
法制委員會,00166,楊吉雄,4,1,N,
法制委員會,00194,劉光華,4,1,Y,
法制委員會,00223,羅福助,4,1,N,
內政委員會,00032,李慶雄,4,2,N,
內政委員會,00050,林炳坤,4,2,N,
內政委員會,00091,秦慧珠,4,2,N,
內政委員會,00103,許登宮,4,2,N,
內政委員會,00107,郭廷才,4,2,N,
內政委員會,00125,陳宏昌,4,2,N,
內政委員會,00126,陳定南,4,2,N,
內政委員會,00148,曾華德,4,2,N,
內政委員會,00162,黃爾璇,4,2,N,
內政委員會,00165,楊仁福,4,2,N,
內政委員會,00174,廖風德,4,2,N,
內政委員會,00183,鄭朝明,4,2,Y,
內政委員會,00189,蔡家福,4,2,Y,
內政委員會,00192,蔡豪,4,2,N,
內政委員會,00200,劉銓忠,4,2,N,
內政委員會,00212,戴振耀,4,2,N,
內政委員會,00224,蘇煥智,4,2,N,
經濟委員會,00002,方醫良,4,2,N,
經濟委員會,00047,林宗男,4,2,N,
經濟委員會,00063,林豐喜,4,2,N,
經濟委員會,00087,侯惠仙,4,2,N,
經濟委員會,00088,唐碧娥,4,2,N,
經濟委員會,00090,高揚昇,4,2,N,
經濟委員會,00097,徐慶元,4,2,N,
經濟委員會,00098,翁金珠,4,2,N,
經濟委員會,00104,許舒博,4,2,N,
經濟委員會,00131,陳振盛,4,2,N,
經濟委員會,00132,陳振雄,4,2,N,
經濟委員會,00140,陳勝宏,4,2,N,
經濟委員會,00147,曾振農,4,2,N,
經濟委員會,00149,曾蔡美佐,4,2,Y,
經濟委員會,00157,黃秀孟,4,2,N,
經濟委員會,00171,葉宜津,4,2,N,
經濟委員會,00181,鄭金玲,4,2,N,
經濟委員會,00216,鍾紹和,4,2,Y,
