名稱,地址,電話,連結
"大仁科技大學","新二村維新路20號","08-7624002","http://www.tajen.edu.tw"
"中山醫學大學","建國北路一段110號","04-24730022","http://www.csmu.edu.tw"
"中華慈心健康安全醫事暨輻射防護發展協會","中正路868號11樓","02-32344482","http://www.chef.org.tw/"
"台北海洋技術學院","延平北路九段212號","02-28102292","Department of Food and Beverage Management"
"台灣食品技師協會","五權西一街123號","04-23760893",""
"台灣優良食品發展協會","忠孝東路四段219號6樓","02-27512777","http://www.gmp.org.tw/"
"弘光科技大學","中棲路34號","04-26318652",""
"光宇學校財團法人元培醫事科技大學","元培街306號","03-5381183","http://future.ypu.edu.tw/bin/home.php"
"社團法人中華食品危害分析與重點管制系統學會","海專路142號厚生樓A11212-2室","07-3633256","http://haccp.org.tw"
"社團法人中華食品安全管制系統發展協會","民權路246號3樓","04-22029016","http://www.chinese-haccp.org.tw/"
"城市學校財團法人臺北城市科技大學","學園路2號","02-28927154","http://www.tpcu.edu.tw"
"美和學校財團法人美和科技大學","屏光路23號","08-7799821","http://www.meiho.edu.tw"
"財團法人中央畜產會","和平西路二段100號5樓","02-2301-5569","http://www.naif.org.tw/"
"財團法人中華穀類食品工業技術研究所","下罟子12-6號","02-26101010","http://www.cgprdi.org.tw/"
"財團法人台灣食品產業策進會","仁愛路四段107號7樓","02-27521006","https://www.tfif.org.tw/"
"財團法人食品工業發展研究所","食品路331號","03-5223191","http://www.firdi.org.tw"
"財團法人慈寶安全衛生環境科學暨社會福利基金會","湳中街22巷21號7樓","02-32344482",""
"國立宜蘭大學","神農路1段1號","03-9317783",""
"國立高雄海洋科技大學水產食品科學系","海專路142號厚生樓","07-3617141","http://www.seafood.nkmu.edu.tw/main.php"
"國立高雄餐旅大學","松和路1號","07-8060505","http://ce.nkuht.edu.tw/ewww"
"經國管理暨健康學院","復興路336號","02-24372093","http://tra.cku.edu.tw/front/bin/home.phtml"
"暐凱國際檢驗科技股份有限公司","內湖路一段120巷15弄28號","02-87511232","http://www.fsi.net.tw"
"嘉南藥理科技大學","二仁路一段60號","06-2664911","www.chna.edu.tw"
"實踐大學","大直街70號","02-66012497","http://incubator.usc.edu.tw"
"輔英科技大學推廣教育中心","進學路151號","07-7811151","http://education.fy.edu.tw/bin/home.php"
