標題,發布日期,連結
"食品中乙烯二胺四醋酸二鈉鈣之檢驗方法","2014-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10052&t=s"
"化粧品中二甘醇之鑑別及含量測定(Diethylene Glycol)","2014-11-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10053&t=s"
"食品中二甲基黃及二乙基黃之鑑別方法","2014-12-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10227&t=s"
"嬰兒配方乳品中碘離子之檢驗方法","2014-12-27","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10315&t=s"
"嬰兒配方乳品中維生素B2之檢驗方法","2014-12-27","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10316&t=s"
"化粧品中甲醇、乙腈、二氯甲烷、三氯甲烷、苯、1,4-二氧六圜及甲苯之鑑別及含量測定(Methanol,Acetonitrile,Methylene Chloride,Chloroform,Benzene,1,4-Dioxane and Toluene)","2014-12-27","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10317&t=s"
"化粧品中對苯二酚、杜鵑醇及維他命A酸之鑑別及含量測定(Hydroquinone, Rhododendrol and Tretinoin)","2014-12-27","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10318&t=s"
"特殊營養食品之營養素含量建議檢驗方法彙整表","2015-01-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10550&t=s"
"以線上淨化高效離子層析法分析食品中溴酸鹽","2015-03-09","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10868&t=s"
"基因改造食品檢驗方法－黃豆轉殖品項MON87769 (UI: MON-87769-7)之轉殖品項特異性定性及定量檢驗","2015-03-09","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10869&t=s"
"基因改造食品檢驗方法－黃豆轉殖品項MON87701 (UI: MON-877Ø1-2)之轉殖品項特異性定性及定量檢驗","2015-03-09","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10870&t=s"
"基因改造食品檢驗方法－黃豆轉殖品項SYHT0H2 (UI: SYN-ØØØH2-5)之轉殖品項特異性定性及定量檢驗","2015-03-09","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10871&t=s"
"酒類中胺基甲酸乙酯之檢驗方法","2015-03-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10998&t=s"
"食品中海洋生物毒素之檢驗方法－下痢性貝毒之檢驗","2015-03-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10999&t=s"
"嬰兒配方乳品中膽鹼之檢驗方法","2015-03-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11000&t=s"
"嬰兒配方乳品中肌醇之檢驗方法","2015-03-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11001&t=s"
"膠囊與錠狀食品中類薑黃素之檢驗方法","2015-03-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11002&t=s"
"食用油中正己烷殘留之檢驗方法","2013-12-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8540&t=s"
"化粧品中尿囊素及尿素之鑑別及含量測定(Allantoin and Urea)","2013-12-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8542&t=s"
"化粧品中丙烯醯胺之檢驗方法(Acrylamide)","2013-12-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8543&t=s"
"化粧品中雌激素類之檢驗方法(Estrogens)","2013-12-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8544&t=s"
"化粧品中壬基苯酚及壬基苯酚聚乙氧基醇類之鑑別及含量測定(Nonylphenol and Nonylphenol Polyethoxylates)","2013-12-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8545&t=s"
"食品中銅葉綠素鈉之鑑別方法","2013-12-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8555&t=s"
"食用油中銅葉綠素之鑑別方法","2013-12-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8556&t=s"
"食用油中Cu-pyropheophytin A之檢驗方法","2014-01-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8625&t=s"
"中藥及食品中摻加西藥之檢驗方法","2014-02-17","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8881&t=s"
"電子煙中尼古丁之鑑別及含量測定","2014-04-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9130&t=s"
"食用油中總棉籽酚之檢驗方法","2014-04-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9132&t=s"
"食品中食品添加物建議檢驗方法彙整表(1)","2014-05-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9220&t=s"
"化粧品中甲基異噻唑啉酮及甲基氯異噻唑啉酮之鑑別及含量測定(Methylisothiazolinone and Methylchloroisothiazolinone)","2014-05-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9245&t=s"
"化粧品中防曬劑成分之鑑別及含量測定(二)(Sunscreen Agents共16品項)","2014-05-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9246&t=s"
"化粧品中禁用色素類之鑑別方法(Acid orange 24,Acid red 73,Solvent red 1,Basic blue 26,Basic violet 14,HC yellow no.6 and HC yellow no.12)","2014-05-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9247&t=s"
"化粧品中類固醇之檢驗方法(Betamethasone,clobetasol propionate,cortisone acetate,dexamethasone,dexamethasone phosphate,hydrocortisone,methylprednisolone,prednisolone,prednisone and triamcinolone)","2014-05-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9248&t=s"
"牙膏及漱口水中總氟化物之檢驗方法(Total Fluoride)","2014-05-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9249&t=s"
"化粧品中防腐劑之檢驗方法(Preservatives共12項)","2014-08-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9501&t=s"
"化粧品中防腐劑之檢驗方法－鄰苯基苯酚、對氯間二甲苯酚、苄氯酚及二氯苯氧氯酚之鑑別及含量測定(Preservatives：o-Phenylphenol, Chloroxylenol, Chlorophene and Triclosan)","2014-08-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9503&t=s"
