葡萄高纖細燕麥片、乳酸菌大燕麥片、維他命麥精	聖誕老人股份有限公司	彰化縣	營養標示不符	名豐商號	2010-04-23	府授衛食字0990022456號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
渡邊檸檬酸鈣鈣膜衣錠	人生製藥股份有限公司	台中市	標示不符	勝霖藥品股份有限公司	2010-04-21	府授衛食字0990106614號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
維汝鈣錠食品	誠瑞藥品有限公司	桃園縣	標示不符	福生藥局	2010-08-02	府衛食字0990013977號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
無糖養生黑蒜餅	詩唯諾健怡食品有限公司	台北縣	營養標示不符	統一生活視野股份有限公司	2010-08-03	北府衛藥字0990106743號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
話梅餅	名富商行	彰化縣	標示不符	志裕珍食品行	2010-08-05	府授衛食字0990175923號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
生鮮蔬果	遠東百貨公司三重分公司	台北縣	標示不符	民眾檢舉	2010-08-06	北府衛藥字0990106573號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
生鮮蔬果	台灣家樂福股份有限公司	台北縣	標示不符	民眾檢舉	2010-08-06	北府衛藥字0990106595號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
蜂王乳膠囊食品	李○潔	苗栗縣	無中文標示	網路	2010-08-13	府衛食字0997001110號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
忒蒂斯海洋深層水	光隆生化科技股份有限公司	花蓮縣	無營養標示	台灣屈臣氏	2010-08-10	府衛藥字0990138175號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
滷雞爪	元記食品有限公司	台北縣	未標示內容物名稱及重量、容量及數量原	農會超市	2010-08-10	北府衛藥字0990109884號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
熊貓布丁	至岡二食品有限公司	高雄市	營養標示不符	現場	2010-08-17	高市衛食字0990038429號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
協成發濁水米、特選濁水米	楊○岳	彰化縣	無標示有效日期	民眾檢舉	2010-08-16	府授衛食字0990176001號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
黑糖梅	嘉禾食品有限公司	台北縣	營養標示不符	佰沅企業有限公司	2010-08-12	北府衛藥字0990113424號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
andes	品喀國際股份有限公司	台北縣	無中文標示及營養標示	廣進企業社	2010-08-12	北府衛藥字0990106518號	食品衛生管理法第17條	處新台幣3萬元罰鍰	
