臺北氧氣股份有限公司大肚廠	臺中市大肚區沙田路2段308巷9、9-1號	1030929	1031017	國內PIC/S GMP 藥廠   	
政德製藥股份有限公司	雲林縣大埤鄉嘉興村豐田路2號	1030820~1030822	1030910	國內PIC/S GMP 藥廠   	
成大藥品股份有限公司	臺南市麻豆區南勢里關帝廟80號	1031204~1031205	1031225	國內非PIC/S GMP 藥廠   	
台灣陽生製藥工業股份有限公司	屏東縣屏東市龍華路381號	1031124~1031125	1031219	國內非PIC/S GMP 藥廠   	
正長生化學製藥股份有限公司	彰化縣和美鎮詔安里彰美路2段6號	1031203~1031205	1031217	國內非PIC/S GMP 藥廠   	
西德有機化學藥品股份有限公司	新北市三重區中正北路560巷36號	1031125~1031126	1031204	國內非PIC/S GMP 藥廠   	
龍杏生技製藥股份有限公司	台南市佳里區嘉福里115之1號	1031111~1031113	1031204	國內非PIC/S GMP 藥廠   	
廣得利膠囊股份有限公司	台中市大雅區民生路3段180巷15號1樓	1031006~1031007	1031027	國內非PIC/S GMP 藥廠   	
內外化學工業股份有限公司	雲林縣斗六市榴中里斗復興路3 號	1030924~1030926	1031021	國內非PIC/S GMP 藥廠   	
久仁製藥廠股份有限公司	南投縣南投市工業路59號	1030910~1030911	1031009	國內非PIC/S GMP 藥廠   	
惠民製藥股份有限公司淡水一廠	新北市淡水區埤島里中山北路三段113號	1030627	1030729	國內非PIC/S GMP 藥廠   	
內外化學工業股份有限公司	雲林縣斗六市榴中里復興路3號	1030326~1030327	1030512	國內非PIC/S GMP 藥廠   	
龍杏生技製藥股份有限公司	台南市佳里區嘉福里115之1號A棟	1030113~1030115	1030224	國內非PIC/S GMP 藥廠   	
內外化學工業股份有限公司	雲林縣斗六市榴中里復興路3號	1020909~1020910	1021101	國內非PIC/S GMP 藥廠   	
居禮化學藥品股份有限公司淡水廠	新北市淡水區忠山里中洲子路3之1號	1020815~1020816	1021004	國內非PIC/S GMP 藥廠   	
龍杏生技製藥股份有限公司	台南市佳里區嘉福里115之1號A棟	1020808	1020903	國內非PIC/S GMP 藥廠   	
內外化學工業股份有限公司	雲林縣斗六市榴中里復興路3 號	1010927 ~ 1010928	1011025	國內非PIC/S GMP 藥廠   	
居禮化學藥品股份有限公司淡水廠	新北市淡水區忠山里中洲子路3之1號	1010403	1010604	國內非PIC/S GMP 藥廠   	
內外化學工業股份有限公司	雲林縣斗六市榴中里復興路3號	1010320 ~ 1010322	1010509	國內非PIC/S GMP 藥廠   	
內外化學工業股份有限公司	雲林縣斗六市榴中里斗復興路3 號	1000822 ~ 1000823	1000913	國內非PIC/S GMP 藥廠   	
Teika Pharmaceutical. Co., Ltd. 	3-27, Arakawa 1-chome, Toyama-shi, Toyama 930-0982, Japan 	1030310~14	1030516	國外藥廠	
政德製藥股份有限公司	雲林縣大埤鄉嘉興村豐田路2號	1030820~1030822	1030910	國內PIC/S GMP 藥廠   	
臺北氧氣股份有限公司大肚廠	臺中市大肚區沙田路2段308巷9、9-1號	1030929	1031017	國內PIC/S GMP 藥廠   	
